"After you have greeted in my words the best and most distinguished men Pellican_8127, Leon_1753, Theodore_8171, Megander_8412 and your other administrators; recommend me as you can dutifully; but especially greet your most holy wife, whom along with my brother and sister, I command you to greet warmly in Christ and who commend themselves to you as Christians. March 10, 1540.",Sender Info,Addressee Info,input,sender,receiver
13_1794_11840.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Farewell, my dearest and best brother in the Lord, along with your entire household, whom along with Walther_8011, our uniquely dear friend, and other friends and brothers you will most dutifully greet on my behalf.",my,"my brother in the Lord, your entire household, Walther_8011"
13_1794_11840.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",All of ours send you their greetings.,ours,you
13_1761_11807.xml,"<sender-id>3872 <firstname>Francis <name>Warner
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Many greetings, together with your wife, from Lord Richard Hilles and his wife, from whom you will receive a pair of knives for your wife, which D. Henry Falkner will deliver to you.","Lord Richard Hilles, his wife","you, your wife"
13_1831_11877.xml,"<sender-id>467 <firstname>Martin <name>Bucer
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all our colleagues here formally on our behalf.,our,all our colleagues
13_1759_11805.xml,"<sender-id>1278 <firstname>Johannes <name>Gast
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",D. Andreas Wesalius salutes you most dutifully.,D. Andreas Wesalius,you
13_1726_11771.xml,"<sender-id>536 <firstname>Johannes <name>Caesarius
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Please greet (I beg you) with my words, the rest of the preachers there and especially my most beloved son, who met me in Cologne and greeted and conversated with me so sweetly and pleasantly that I can't not remember him, and also admonish him that he writes to me sometimes.",me,"the rest of the preachers, my son"
13_1801_11847.xml,"<sender-id>1057 <firstname>Peter <name>Fuchs
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
",Greet all your household and good friends and brothers for me.,me,"your household, friends, brothers"
13_1723_11768.xml,"<sender-id>495 <firstname>Heinrich <name>Bullinger
","<addressee-id>1903 <firstname>Johannes <name>Lening
",Greet in my name all the friends and brothers favouring me that you know.,my ,all the friends and brothers 
13_1718_11763.xml,"<sender-id>3481 <firstname>Simprecht <name>Vogt
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","Lingkius_8090 and Grübellius_5056, my colleagues, send their greeting to you.","Lingkius_8090,  Grübellius_5056",you
13_1743_11789.xml,"<sender-id>8055 <firstname>Ambrosius <name>Blarer (Blaurer)
","<addressee-id>495 <firstname>Heinrich <name>Bullinger
","In particular, you will most respectfully greet my Gvaltherus_8011, to whom it was absolutely necessary to write; but no opportunity was given at all.",you,Gvaltherus_8011
