Filename,Sender Info,Addressee Info,input,predicted_sender,predicted_receiver
10A_1444_11487.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Greet all the brothers.,Simon  Grynäus_1365,all the brothers
10A_889a_10930.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,"I pray earnestly that you would wish to greet all our friends, most lovingly our friend Theodorus_8171.",Simon  Grynäus_1365,"Heinrich  Bullinger_495, Theodorus_8171"
10A_1446_11489.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Greet all the brothers most diligently.,Simon  Grynäus_1365,all the brothers
10A_876a_10916.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,"Greet Theodore_8171, all the brothers.",Simon  Grynäus_1365,"Theodore_8171, all the brothers"
10A_1447_11490.xml,Simon  Grynäus_1365,Heinrich  Bullinger_495,Greet everyone in the Lord.,Simon  Grynäus_1365,everyone in the Lord
11_1542_11585.xml,Heinrich  Bullinger_495,Joachim  Vadian (von Watt)_8049,"- In recent days, the most illustrious chancellor of the prince of Württemberg, Duke Nicolas Müller, wrote a very friendly letter to me, and specifically made an honorable mention of you, begging me to send his greetings to you and, if I could, to acquire a letter to him, so that he might have the opportunity to establish a friendship with you.",Duke Nicolas Müller,Joachim  Vadian (von Watt)_8049
11_1535_11578.xml,Joachim  Vadian (von Watt)_8049,Heinrich  Bullinger_495,"Farewell and greet your people in my name, above all D. Lavater.",Joachim  Vadian (von Watt)_8049 name,Heinrich  Bullinger_495 people
11_1594_11637.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,May your wife greet me and my wife along with your entire house and all our dearest people.,Ambrosius  Blarer (Blaurer)_8055,"Heinrich  Bullinger_495 entire house, all Ambrosius  Blarer (Blaurer)_8055 dearest people"
11_1580_11623.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,"My brother and both Zviccio_4079 and my wife, and also Margarita_4320, the best sister, who is now our church's archdeaconess, bid thee the most abundant greetings; she risks her property and life and everything.","Ambrosius  Blarer (Blaurer)_8055 brother, Zviccio_4079, Ambrosius  Blarer (Blaurer)_8055 wife, and Margarita_4320, the best sister, who is now Ambrosius  Blarer (Blaurer)_8055 church's archdeaconess,","Ambrosius  Blarer (Blaurer)_8055 brother, Zviccio_4079, Ambrosius  Blarer (Blaurer)_8055 wife, Margarita_4320, the best sister, who is now Ambrosius  Blarer (Blaurer)_8055 church's archdeaconess"
11_1580_11623.xml,Ambrosius  Blarer (Blaurer)_8055,Heinrich  Bullinger_495,My little wife sends you and yours her best regards.,Ambrosius  Blarer (Blaurer)_8055 little wife,Heinrich  Bullinger_495
